"Data;Último;Var%"
"01.04.1997;9982;0,1037"
"01.03.1997;9044;0,0244"
"01.02.1997;8829;0,1085"
"01.01.1997;7965;0,1314"
"01.12.1996;7040;0,0561"
"01.11.1996;6666;0,0204"
"01.10.1996;6533;0,0133"
"01.09.1996;6447;0,03"
"01.08.1996;6259;0,0222"
"01.07.1996;6123;0,0131"
"01.06.1996;6044;0,0552"
"01.05.1996;5728;0,1092"
"01.04.1996;5164;0,0422"
"01.03.1996;4955;-0,0006"
"01.02.1996;4958;-0,0377"
"01.01.1996;5152;0,1984"
"01.12.1995;4299;-0,0183"
"01.11.1995;4379;0,0608"
"01.10.1995;4128;-0,1161"
"01.09.1995;4670;0,0835"
"01.08.1995;4310;0,1114"
"01.07.1995;3878;0,0763"
"01.06.1995;3603;-0,0317"
"01.05.1995;3721;-0,0244"
"01.04.1995;3814;0,2803"
"01.03.1995;2979;-0,0893"
"01.02.1995;3271;-0,158"
