"Data;Último;Var%";
"30.1.2014;47.244;-0,66%";
"30.1.2013;59.337;-1,77%";
"30.1.2012;62.770;-0,21%";
"30.1.2009;39.301;-0,85%";
"30.1.2008;60.289;1,27%";
"30.1.2007;44.044;1,08%";
"30.1.2006;38.242;1,11%";
"30.1.2004;21.851;-2,39%";
"30.1.2003;10.751;-1,03%";
"30.1.2002;12.532;0,25%";
"30.1.2001;17.723;-0,89%";
"30.1.1998;9.720;-0,67%";
"30.1.1997;7.789;0,67%";
"30.1.1996;5.133;4,01%";
"30.1.1995;3.581;-5,36%";
"29.12.2022;109.735;-0,46%";
"29.12.2021;104.107;-0,72%";
"29.12.2020;119.409;0,24%";
"29.12.2016;60.227;0,74%";
"29.12.2015;43.654;-0,25%";
"29.12.2014;50.594;0,9%";
"29.12.2011;56.754;0,39%";
"29.12.2010;68.952;1,34%";
"29.12.2009;68.296;0,58%";
"29.12.2008;37.060;0,53%";
"29.12.2005;33.456;0,96%";
"29.12.2004;26.161;0,17%";
"29.12.2003;22.045;1,09%";
"29.12.1999;16.773;2,42%";
"29.12.1998;6.715;-2,67%";
"29.12.1997;10.052;2,62%";
"29.11.2023;126.166;-0,29%";
"29.11.2022;110.910;1,96%";
"29.11.2021;102.814;0,58%";
"29.11.2019;108.233;-0,05%";
"29.11.2018;89.710;0,51%";
"29.11.2017;72.700;-1,94%";
"29.11.2016;60.987;-2,97%";
"29.11.2013;52.482;1,22%";
"29.11.2012;57.853;2,32%";
"29.11.2011;55.300;-1,28%";
"29.11.2010;67.908;-0,47%";
"29.11.2007;62.156;0,71%";
"29.11.2006;41.970;2,26%";
"29.11.2005;31.652;0,94%";
"29.11.2004;24.855;-0,57%";
"29.11.2002;10.509;2,64%";
"29.11.2001;12.736;-2,17%";
"29.11.2000;13.788;-0,91%";
"29.11.1999;13.855;-0,24%";
"29.11.1996;6.666;0,32%";
"29.11.1995;4.182;3,26%";
"29.10.2021;103.501;-2,09%";
"29.10.2020;96.582;1,27%";
"29.10.2019;107.556;-0,58%";
"29.10.2018;83.797;-2,24%";
"29.10.2015;45.628;-2,38%";
"29.10.2014;51.049;-2,45%";
"29.10.2013;54.539;-0,97%";
"29.10.2012;57.177;-0,17%";
"29.10.2010;70.673;0,5%";
"29.10.2009;63.721;5,92%";
"29.10.2008;34.845;4,37%";
"29.10.2007;65.044;1,19%";
"29.10.2004;23.052;0,54%";
"29.10.2003;17.945;-1,55%";
"29.10.2002;9.601;0,28%";
"29.10.2001;11.377;-3,43%";
"29.10.1999;11.700;0%";
"29.10.1998;6.538;-4,23%";
"29.10.1997;9.818;-6,02%";
"29.10.1996;6.550;2,33%";
"29.9.2023;116.565;0,72%";
"29.9.2022;107.664;-0,73%";
"29.9.2021;111.107;0,89%";
"29.9.2020;93.580;-1,15%";
"29.9.2017;74.294;0,99%";
"29.9.2016;58.351;-1,69%";
"29.9.2015;44.132;0,4%";
"29.9.2014;54.625;-4,52%";
"29.9.2011;53.385;0,22%";
"29.9.2010;69.228;0%";
"29.9.2009;61.235;-0,13%";
"29.9.2008;46.028;-9,36%";
"29.9.2006;36.449;-0,1%";
"29.9.2005;31.209;-0,34%";
"29.9.2004;23.208;-0,1%";
"29.9.2003;16.109;1,88%";
"29.9.2000;15.928;-0,54%";
"29.9.1999;11.434;-0,07%";
"29.9.1998;6.869;0,62%";
"29.9.1997;11.614;0,69%";
"29.9.1995;4.670;2,26%";
"29.8.2023;118.404;1,1%";
"29.8.2022;112.323;0,02%";
"29.8.2019;100.524;2,37%";
"29.8.2018;78.389;1,18%";
"29.8.2017;71.330;0,44%";
"29.8.2016;58.610;1,55%";
"29.8.2014;61.288;1,65%";
"29.8.2013;49.922;0,11%";
"29.8.2012;57.369;-1,78%";
"29.8.2011;54.861;2,83%";
"29.8.2008;55.680;-1,25%";
"29.8.2007;52.735;2,11%";
"29.8.2006;36.304;-0,2%";
"29.8.2005;27.385;1,07%";
"29.8.2003;15.174;0,72%";
"29.8.2002;10.455;0,72%";
"29.8.2001;13.077;0,45%";
"29.8.2000;17.355;-0,6%";
"29.8.1997;10.609;-5,84%";
"29.8.1996;6.270;-0,4%";
"29.8.1995;4.368;-3,26%";
"29.7.2022;103.165;0,55%";
"29.7.2021;125.675;-0,48%";
"29.7.2020;105.605;1,44%";
